sample_id,class_id,class_name,macro_class,season,confidence,split,source,notes,scl,x,y,B04,B03,B02,B05,B06,B07,B08,B8A,B11,B12,NDVI,NDWI,MNDWI,NDBI_like,SWIR_ratio,NIR_SWIR_ratio,RED_SWIR_ratio,GREEN_SWIR_ratio,BLUE_RED_ratio
agua_humedad_020,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,728360.0,7382520.0,3999.0,4926.0,3376.0,3259.5,1372.5,1290.0,1304.5,1097.5,1065.5,1061.0,-0.5080607145266218,0.5812535108608854,0.6443294666370142,-0.1008438818139899,1.004241280863109,1.2243078355473411,3.75316752346019,4.623181600541359,0.8442110525520853
agua_humedad_019,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,728780.0,7383360.0,3977.0,5448.0,4075.0,3381.5,1429.5,1315.5,1308.5,1104.5,1045.5,1050.0,-0.5048718190322823,0.6126692813420159,0.6779856778812681,-0.1117247238267949,0.9957142847659864,1.251554279051598,3.803921564989075,5.210903868760493,1.0246416894582244
agua_humedad_019,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,728740.0,7383320.0,3862.0,5304.0,3948.0,3299.0,1418.0,1296.5,1281.0,1095.5,1047.5,1047.5,-0.5018471708143404,0.6109339406817108,0.6701566558025416,-0.1002791496241017,0.999999999045346,1.2229116933432822,3.686873504833533,5.063484482039632,1.022268254525565
agua_humedad_018,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,730280.0,7384520.0,7088.0,8092.0,7890.0,6651.0,3996.0,3596.5,3522.0,2778.5,1153.0,1109.0,-0.336098020703478,0.3934906147413905,0.7505678744455848,-0.5067379678060453,1.0396753822906444,3.054640066734917,6.147441451736824,7.018213350374489,1.113148984041599
agua_humedad_020,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,728380.0,7382420.0,3654.0,4506.0,2927.0,3013.0,1280.0,1228.5,1220.0,1066.0,1052.5,1046.0,-0.4993844890235157,0.5738735591034101,0.6213007105115946,-0.0737073707046392,1.0062141481776157,1.1591448920103136,3.4717339634472832,4.281235150326617,0.8010399559931473
agua_humedad_019,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,728720.0,7383280.0,3911.0,5296.0,3906.0,3298.5,1396.0,1296.5,1287.0,1079.0,1048.0,1051.5,-0.5048095420344729,0.6089928603054848,0.669609079339595,-0.1023554603416036,0.9966714208305548,1.228053433942697,3.731870225446688,5.053435109681836,0.9987215543342568
agua_humedad_018,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,730300.0,7384580.0,7876.0,7964.0,7782.0,8197.0,6203.5,5968.0,6286.0,5229.5,1813.0,1473.0,-0.1122722779189187,0.1177543859566488,0.6291295897893904,-0.5522904061547981,1.2308214519817913,3.467181465269067,4.344180913213358,4.392719247439206,0.9880650074926276
agua_humedad_018,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,730280.0,7384440.0,7896.0,8214.0,8044.0,7961.0,5841.5,5384.0,5255.0,4563.0,1449.5,1280.5,-0.2008212303094197,0.2196896577162603,0.7000051740363217,-0.5676038480770222,1.131979694547458,3.6253880623488177,5.44739564991556,5.666781644934956,1.0187436675508177
agua_humedad_020,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,728380.0,7382440.0,3636.0,4516.0,2942.0,2999.0,1260.0,1226.0,1219.5,1071.5,1051.5,1050.5,-0.4976830397492157,0.5747537266890849,0.6222721148410827,-0.0739762218960915,1.0009519267006644,1.159771753533265,3.457917257767078,4.294816924113345,0.8091309128687759
agua_humedad_019,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,728660.0,7383160.0,3906.0,5086.0,3612.0,3294.5,1378.5,1273.5,1269.5,1079.5,1049.5,1051.0,-0.5094193796716415,0.6005035008102425,0.6578925921835396,-0.0948684777512425,0.9985727868710058,1.2096236291475717,3.721772268964485,4.846117194048483,0.9247311825589526
agua_humedad_019,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,728800.0,7383460.0,3756.0,5366.0,4039.0,3215.5,1404.5,1300.5,1274.0,1101.5,1047.5,1055.5,-0.4934393637189981,0.6162650601481529,0.6733452871796451,-0.0975662286893964,0.9924206527783792,1.2162291157840293,3.585680187507704,5.122673026135873,1.075346112599748
agua_humedad_020,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,728360.0,7382480.0,3645.0,4578.0,2992.0,2937.5,1267.0,1216.5,1232.5,1068.5,1061.0,1058.0,-0.4946181444398527,0.5757680060965893,0.6236921438865592,-0.074776542369838,1.002835537804503,1.1616399612048631,3.4354382625490683,4.31479735691348,0.8208504798845404
agua_humedad_019,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,728740.0,7383340.0,4011.0,5460.0,4104.0,3386.5,1452.0,1345.5,1340.5,1102.5,1051.0,1050.5,-0.4990189665516175,0.605764281949009,0.6771617262053199,-0.1210537319167661,1.0004759628743682,1.2754519493097507,3.816365362686617,5.195052326170264,1.0231862375908287
agua_humedad_018,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,730380.0,7384640.0,7486.0,7994.0,7804.0,7795.0,5547.5,4985.0,4138.0,3951.0,1472.0,1290.0,-0.2880247763000667,0.3178371249325884,0.6889921824752807,-0.475222816314577,1.1410852704332672,2.811141302438083,5.085597822632066,5.430706518049791,1.042479294544152
agua_humedad_020,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,728360.0,7382420.0,3578.0,4444.0,2891.0,2935.0,1278.0,1219.5,1214.5,1076.5,1052.5,1051.5,-0.4931664057395583,0.5707342934398277,0.6170290183540381,-0.0714600793685663,1.0009510213970982,1.1539192388086277,3.3995249373876244,4.222327786962159,0.807993292116268
agua_humedad_018,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,730280.0,7384460.0,7770.0,8138.0,7886.0,7500.0,5469.0,5069.0,5143.0,4254.0,1371.0,1224.5,-0.2034383953997182,0.2255101272324741,0.7116416026173475,-0.5790604850201012,1.1196406687467204,3.751276437818179,5.667396057135378,5.935813270652215,1.014929214798593
agua_humedad_020,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,728300.0,7382380.0,3443.0,4250.0,2756.0,2897.5,1267.0,1222.5,1218.5,1087.0,1073.0,1064.5,-0.4772069075453808,0.5543567704938545,0.5968438849151148,-0.0634955269197052,1.007984968522325,1.135601117301397,3.2087604816320963,3.960857405441885,0.8004647107753515
agua_humedad_019,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,728720.0,7383220.0,3924.0,5244.0,3854.0,3317.5,1390.0,1289.0,1271.5,1096.5,1051.0,1054.5,-0.5105379654488427,0.6096999461883662,0.6660841936987951,-0.0949407965145572,0.9966808904725644,1.2098001891438628,3.733587056390497,4.989533772607484,0.9821610598924156
agua_humedad_018,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,730340.0,7384560.0,7988.0,7970.0,7610.0,8132.5,6222.0,6207.5,6142.0,5033.5,1820.0,1509.0,-0.1306440198067484,0.1295351473831111,0.628192032622248,-0.5428284349983887,1.2060967520171657,3.37472527287103,4.389010986599445,4.379120876714769,0.952679018408528
agua_humedad_018,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,730320.0,7384540.0,7152.0,8080.0,7882.0,6990.0,4549.0,3953.5,3734.0,3392.5,1309.0,1187.5,-0.3139812603055317,0.3678686304073245,0.7211630630822065,-0.4808645646478555,1.1023157885454182,2.852559203321192,5.463712753656445,6.172650873817684,1.1020693510763326
agua_humedad_018,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,730360.0,7384600.0,7942.0,8256.0,8042.0,7928.5,5916.0,5428.5,4927.0,4199.5,1449.0,1275.0,-0.2342839381277267,0.2525221876467782,0.7013910354764151,-0.5454830613949995,1.1364705873439445,3.400276050103329,5.481021390282248,5.697722563355608,1.0125912867020157
agua_humedad_019,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,728680.0,7383160.0,3975.0,5134.0,3701.0,3312.5,1381.5,1277.5,1286.5,1076.0,1047.5,1048.5,-0.5109759573294733,0.5992523945799778,0.6610854969406963,-0.1023993144377038,0.9990462556041524,1.228162289996981,3.794749399718616,4.901193312743491,0.931069182155706
agua_humedad_019,3,agua_humedad,humedad_agua,seca,alta,test,sentinel2_l2a_2025,zona oscura/húmeda homogénea,6,728720.0,7383200.0,3999.0,5288.0,3878.0,3321.0,1397.5,1288.0,1286.5,1099.5,1048.0,1053.0,-0.5131964808413212,0.608639440169041,0.6691919190863017,-0.1021632040684672,0.9952516609731702,1.227576334706511,3.81583969101542,5.0458015219028605,0.969742435366406
